source,state,district,river,raw_location,description,geom
district_surveys,Gujarat,Mahesana,"Sabarmati, Rupen, Pushpavati",,N/A,
district_surveys,Karnataka,Hassan,"Hemavathi, Yugachi, Kaveri",,N/A,
district_surveys,Gujarat,Dohad,"Anas, Panam",,N/A,
district_surveys,Gujarat,Mahesana,Sabarmati,,N/A,
district_surveys,Gujarat,Patan,"Banas, saraswati",,N/A,
district_surveys,Gujarat,Banas Kantha,Banas,,N/A,
district_surveys,Gujarat,Gandhinagar,"Sabarmati, Khari, Meshwo, Vatrak",,N/A,
district_surveys,Andhra Pradesh,East Godavari,"Godavari, Yeleru, Thandava",,N/A,
district_surveys,Maharashtra,Yavatmal,"Wardha, Penganga, Pus, Nirguda, Bembala",,N/A,
district_surveys,Gujarat,Ahmadabad,"Meshwo, Sabarmati, Okaro Kharaghoda",,N/A,
district_surveys,Punjab,Gurdaspur,"Beas, Ravi",,N/A,
district_surveys,Madhya Pradesh,Rajgarh,"Nevaj, Parbati, Kali Sindh, Chapi",,N/A,
district_surveys,Odisha,Bhadrak,"Baitrani, Salandi, Dhamara, Mantei, Kapali, Genguti, Kochila",,N/A,
district_surveys,Gujarat,Vadodara,"Narmada, Heran, Orsang, Mahi",,N/A,
district_surveys,Tamil Nadu,Tiruvannamalai,Palar,,N/A,
district_surveys,West Bengal,Darjiling,"Mechi, Chenga, manja, tari, Balason, Mahananda, Teesta, ranjeet",,N/A,
district_surveys,Tamil Nadu,Ramanathapuram,"Vaigai, Gundaru, Kottakaraiyar, Saruganiyar, Palar",,N/A,
district_surveys,Tamil Nadu,Nagapattinam,Coleroon,,N/A,
district_surveys,Tamil Nadu,Kancheepuram,"Palar, Cheyyar",,N/A,
district_surveys,Odisha,Jagatsinghapur,Biluakhai,,N/A,
district_surveys,West Bengal,Bankura,"Damodar, Kangsabati, Silabati, Sali, joyponda, dwarakeswar",,N/A,
district_surveys,Gujarat,Bharuch,"Narmada, Dhadhar",,N/A,
district_surveys,Odisha,Ganjam,"Rushikulya, Bahuda, Ghodahada, Bedanadi, Baghua, Sananadi, Bodanadi, Kokolaba, Nandini, Jorou, Loharakhandi",,N/A,
district_surveys,Tamil Nadu,Ariyalur,Kollidam,,N/A,
district_surveys,West Bengal,South Twenty Four Parganas,Hooghly,,Cubic meters,
district_surveys,Gujarat,Bhavnagar,"Ghela, Ootawali , Keri, Rajawal, Rangholi, Shetrunji, Kalubhar",,N/A,
district_surveys,Bihar,Gaya,"Falgu, Morhar, Lilajan, Mohana, Budh, Dhadhar, Paimar, Gulsakari",,N/A,
district_surveys,Gujarat,Narmada,"Narmada, Tapi",,N/A,
district_surveys,Tamil Nadu,Vellore,"Palar, Ponnai",,N/A,
district_surveys,Tamil Nadu,Kancheepuram,"Palar, Cheyyar",,N/A,
district_surveys,Tamil Nadu,Perambalur,Vellar,,N/A,
district_surveys,Gujarat,Junagadh,"Hiran, Singavdo, Raval, Kapila, Machchhundri",,N/A,
district_surveys,Maharashtra,Gondiya,"Bagh Nadi, Shasikaran Nala, Umarzari Nala, Gadhavi, Wainganga, Gadhavi Nadi, Sashekaran, Umarzari",,N/A,
district_surveys,Tamil Nadu,Coimbatore,"Noyyal,  Bhavani, Aliyar",,N/A,
district_surveys,Kerala,Thrissur,Bharathapuzha,,N/A,
district_surveys,Tamil Nadu,Sivaganga,"Vaigai, Manimuthar, Pambar, Virusuruliyar, Palar, Thenar, Uppar, Nattar, Saruganiyar, Nattarkal",,N/A,
district_surveys,Gujarat,Junagadh,"Janjesri, Dharafad, Vrajmi, Meghal, Uben, Sonrakh, Ozat, Madhuwanti, Bhadar",,N/A,
district_surveys,Tamil Nadu,Karur,"Kaveri, Amaravathi",,N/A,
district_surveys,Gujarat,Surendranagar,"Bhagavo, Phulka",,N/A,
district_surveys,Tamil Nadu,Pudukkottai,South Vellar,,N/A,
district_surveys,Kerala,Palakkad,Bharathapuzha,,N/A,
district_surveys,Bihar,Kaimur (Bhabua),"Kudra ",,Tonnes,
district_surveys,Madhya Pradesh,Datia,"Sindh, Pahuj",,N/A,
district_surveys,Bihar,Saran,"Ganga, Ghaghra, Gandak",,N/A,
district_surveys,Tamil Nadu,Erode,"Kaveri, Bhavani",,N/A,
district_surveys,Gujarat,Vadodara,"Orsang, Bharaj, Heran, Sukhet, Ani, Ucch, Sukta",,N/A,
district_surveys,Tamil Nadu,Cuddalore,"Thenpennaiar, Gadilam, Vellar, Coleroon, Gomukhi, Mayuranadhi, Manimuktha",,N/A,
district_surveys,West Bengal,Koch Bihar,"raidak II, Raidak, Kaljani, Sankosh, torsa, Teesta, dharla, Jaldhaka, sutugna",,N/A,
district_surveys,Bihar,Nawada,"Sakri , Panchane , Dhadhar, Nati, Khuri, Tilaiya, Dhanarjay",,N/A,
district_surveys,Odisha,Baleshwar,"Budhabalanga , Jalaka , Sona , Kansbans , Subarnarekha",,N/A,
district_surveys,Bihar,Sitamarhi,"Bagmati, Adhawara Samuh",,N/A,
district_surveys,Kerala,Malappuram,"Bharathapuzha, Chaliyar, Kadalundi",,N/A,
district_surveys,Andhra Pradesh,Sri Potti Sriramulu Nellore,"Swarnamukhi, Penna",,N/A,
district_surveys,Gujarat,Kachchh,"Kankawati, Rukmavati, Nagmati, Bhukhi, Sang, Nayra, Kharod",,N/A,
district_surveys,Gujarat,Jamnagar,"Und (Gujarat), Aaji, Rangmati, Ruparel, Fulzar, Sasoi, Manwar, Dia",,N/A,
district_surveys,Gujarat,Anand,"Mahi, Sabarmati",,N/A,
district_surveys,Tamil Nadu,Namakkal,Kaveri,,N/A,
district_surveys,Tamil Nadu,Dindigul,"Kodavanar, Vaigai, Manjalaru, Maruda, Nanganchi, Palar, Porundalar, Shanmukha",,N/A,
district_surveys,Haryana,Mahendragarh,"Krishnawati, Dohan",,N/A,
district_surveys,Madhya Pradesh,Sidhi,"Sone , Gopad, Banas",,Cubic meters,
district_surveys,Punjab,Fatehgarh Sahib,n/a,,N/A,
mining_obs,Bihar,Bhagalpur,Kosi (Bihar),"Serial Number,Latitude,Longitude
,25.42146198,87.06254804
","Bar Skimming, Data from WCT
",
mining_obs,Bihar,Saran,Ganga,"Serial Number,Latitude,Longitude
1,25.721508,84.856296
","NA


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Kishanganj,Mahananda,"Serial Number,Latitude,Longitude
,26.24727599,88.00648302
","Sand Mining - large area, 2 dredgers, 3 JCB, 3 tractors, Data from WCT
",
mining_obs,Bihar,Patna,Ganga,"Serial Number,Latitude,Longitude
1,25.658809,85.1071029999999
","1 dredger


This mining observation report has been generated based on sightings of sand mining by our partner organisation Wildlife Conservation Trust during their field work. 


Have observations of sand mining in Indian rivers? Upload your observations directly on India Sand Watch or send the details to us via email on 

sandwatch@veditum.org
 ",
mining_obs,Bihar,Katihar,Mahananda,"Serial Number,Latitude,Longitude
1,25.4279,87.76584
","JCBs and tractors observed at the mining location. ",
