"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Link","Open access resource","PDF","Summary","Key Points","Focus Region","State","Resource Type","Original date of report publishing","Date of Accessing Resource","Issuing body","Name of the Issuing body","Published Date","lastActivity.date"
"Enforcement & Monitoring Guidelines for Sand Mining (2020), by MoEFCC","http://environmentclearance.nic.in/writereaddata/SandMiningManagementGuidelines2020.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F3f130c53-a86d-4360-82b8-87333a04a9fc.pdf?generation=1665472361640893&alt=media","This document titled 'Enforcement & Monitoring Guidelines for Sand Mining', is an update as well as complementary document to the 'Sustainable Sand Mining Guidelines 2016' document released earlier by the MoEFCC itself. 

From the document: ""This document will serve as a guideline for collection of critical information for enforcement of the regulatory provision(s) and also highlights the essential infrastructural requirements necessary for effective monitoring for Sustainable Sand Mining.""

Even though there's still scope for progress and change, this document is the current benchmark as far as it comes to government policy on this matter.","The document has the following chapters: 
 Introduction 
 Need for Policy Guidelines 
 Objective of Guidelines 
 Requirements for Monitoring & Enforcement 
 Replenishment Study 
 Enforcement Provisions 
 Recommendation of High Power Committee 
 General Approach for Sustainable Sand Mining 
 Monitoring Mechanism 
  
 While this document refers to various court proceedings and repeatedly talks about monitoring, the document fails to: 
  
 Provide any avenues for transparency (data is held behind closed doors) 
 Include the public in the process.","India ","N/A","N/A","01-01-2020 18:30:00","11-10-2022 18:30:00","Government","Ministry of Environment, Forest and Climate Change","11-10-2022","N/A"
"Sand and Sustainability: 10 Strategic Recommendations to Avert a Crisis (UNEP 2022)","https://www.unep.org/resources/report/sand-and-sustainability-10-strategic-recommendations-avert-crisis","Yes","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F013c6b15-34e5-4040-ac39-c6ae111d1ed8.pdf?generation=1673389563679712&alt=media","“Sand and Sustainability : 10 strategic recommendations to avert a crisis” consolidates the expertise in sand and sustainability from different sectors to bring attention to the impacts from the current state of extraction, use and (mis)management, putting forward recommendations for actions to set the global sand agenda in addressing environmental sustainability needs alongside justice, equity, technical, economic, and political considerations.","Recommendations to Avert a Crisis: 
 1. Recognise sand as a strategic resource that delivers critical ecosystem services and underpins the construction of vital infrastructure in expanding towns and cities globally. 
 2.Include place-based perspectives for just sand transitions, ensuring the voices of all impacted people are part of decision-making, agenda-setting and action. 
 3. Enable a paradigm shift to a regenerative and circular future. 
 4. Adopt strategic and integrated policy and legal frameworks horizontally, vertically and intersectionally, in tune with local, national, and regional realities. 
 5. Establish ownership and access to sand resources through mineral rights and consenting. 
 6. Map, monitor and report sand resources for transparent, science-based and data-driven decision-making. 
 7. Establish best practices and national standards, and a coherent international framework.  
 8. Promote resource efficiency & circularity by reducing the use of sand, substituting with viable alternatives and recycling products made of sand when possible. 
 9. Source responsibly by actively and consciously procuring sand in an ethical, sustainable, and socially conscious way.  
 10. Restore ecosystems and compensate for remaining losses by advancing knowledge, mainstreaming the mitigation hierarchy, and promoting nature-based solutions.  
 ","Global ","N/A","Guideline","01-01-2022 18:30:00","11-01-2023 18:30:00","Multi lateral agency (eg : UNEP)","United Nations Environment Programme (UNEP)","10-01-2023","24-01-2025"
"Sustainable Sand Mining Guidelines of MoEF in 2016","http://environmentclearance.nic.in/writereaddata/ SandMiningManagementGuidelines2016.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F7bed103a-eab4-4039-9ade-42ef88ed3d99.pdf?generation=1673347517735308&alt=media","The extraction of sand and gravel from the river bodies has to be regulated and done with adoption of required environmental safeguards. For making available these resources, a mapping of these resources at the district level, identification of appropriate sites for extraction, appraisal of the extraction process, putting in place the required environmental safeguards, and rigorous monitoring of the volume of extracted material is required to ensure sustainability of the entire process. 
The district is the unit of administration which is best placed to do the mapping of these resources, adopt the best environmental practices for extraction of these materials and monitor its extraction and movement. The large number of leases which are awarded, the scattered geographical location of the availability of these materials and decentralized requirement and usage of the sand and aggregates also places districts in a unique position to play a vital role in adoption of environmental safeguards needed for sustainable extraction of river sand and gravel.
Recommendations for management of sustainable sand extraction are the key objective of the Guidelines. Emphasis is given to the setting up of monitoring plans that will provide data on profile changes and sediment transport capacity to enable the authorities to evaluate the long-term effect of the mining activities both upstream and downstream of sand extraction sites.
Special emphasis is given on monitoring of the mined out material, which is key to the success of environment management plan. So use of IT and IT enabled services for effective monitoring of the quantity of mined out material and transportation along with process reengineering has been made a part of the Guideliness. The Guidelines proposes delegation of responsibility and authority to the cutting edge level i.e. the District Environment Impact Assessment Authority along with streamlining the process of impact assessment, environment management plan and environment clearance in cluster situation.
Promotion of manufactured sand, artificial sand and alternative technologies in construction materials and processes are also required for reducing the dependence and demand on naturally occurring sand and gravel. Development of slag sand, sand from stone chips and there certification under BIS is an important step in this direction.","• To ensure that sand and gravel mining is done in environmentally sustainable and socially responsible manner.  
 • To ensure availability of adequate quantity of aggregate in sustainable manner.  
 • To improve the effectiveness of monitoring of mining and transportation of mined out material. 
 • Ensure conservation of the river equilibrium and its natural environment by protection and restoration of the ecological system.  
 • Avoid aggradation at the downstream reach especially those with hydraulic structures such as jetties, water intakes etc.  
 • Ensure that the rivers are protected from bank and bed erosion beyond its stable profile.  
 • No obstruction to the river flow, water transport and restoring the riparian rights and instream habitats.  
 • Avoid pollution of river water leading to water quality deterioration.  
 • To prevent depletion of ground water reserves due to excessive draining out of ground water.  
 • To prevent ground water pollution by prohibiting sand mining on fissures where it works as filter prior to ground water recharge.  
 • To maintain the river equilibrium with the application of sediment transport principles in determining the locations, period and quantity to be extracted.  
 • Streamlining and simplifying the process for grant of environmental clearance (EC) for sustainable mining.","India ","N/A","Guideline","01-01-2016 18:30:00","10-01-2023 18:30:00","Government","Ministry of Environment, Forest and Climate Change","10-01-2023","N/A"
"Environmental Impact Assessment of Sand Mining from the Small Catchment Rivers in the Southwestern Coast of India: A Case Study","https://link.springer.com/article/10.1007/s00267-010-9571-6","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fa9402ffb-23c9-4d02-a42a-51a4fa9e1992.pdf?generation=1683515851412229&alt=media","<this paper is not open access, but you can write to smm@veditum.org to get a copy>

In the past few decades, the demand for construction grade sand is increasing in many parts of the world due to rapid economic development and subsequent growth of building activities. This, in many of the occasions, has resulted in indiscriminate mining of sand from instream and floodplain areas leading to severe damages to the river basin environment.
The case is rather alarming in the small catchment rivers like those draining the southwestern coast of India due to limited sand resources in their alluvial reaches. Moreover, lack of adequate information on the environmental impact of river sand mining is a major lacuna challenging regulatory efforts in many developing countries. Therefore, a scientific assessment is a pre-requisite in formulating management strategies in the sand mining-hit areas.
In this context, a study has been made as a case to address the environmental impact of sand mining from the instream and floodplain areas of three important rivers in the southwestern coast of India namely the Chalakudy, Periyar and Muvattupuzha rivers, whose lowlands host one of the fast developing urban-cum-industrial centre, the Kochi city. The study reveals that an amount of 11.527 million ty−1 of sand (8.764 million ty−1 of instream sand and 2.763 million ty−1 of floodplain sand) is being mined from the midland and lowland reaches of these rivers for construction of buildings and other infrastructural facilities in Kochi city and its satellite townships.
Environmental Impact Assessment (EIA) carried out as a part of this investigation shows that the activities associated with mining and processing of sands have not only affected the health of the river ecosystems but also degraded its overbank areas to a large extent. Considering the degree of degradation caused by sand mining from these rivers, no mining scenario may be opted in the deeper zones of the river channels. Also, a set of suggestions are made for the overall improvement of the rivers and its biophysical environment.","<this paper is not open access, but you can write to smm@veditum.org to get a copy> 
 Conclusions and Recommendations from the paper 
  
 Indiscriminate sand and gravel mining over the years has imposed irreparable damages to the river ecosystems in the southwest coast of India. Lack of adequate information regarding the extend of environmental impacts caused by sand mining is a major lacuna challenging regulatory efforts and minimizing the adverse effects of river sand mining. The present study discloses the fact that the small catchment rivers draining Central Kerala in the southwest coast of India has degraded significantly by uncontrolled sand mining over the past few decades. Periodic field checking of river sand harvesting sites, recording total sand extraction, periodic environmental auditing etc., could prevent degradation of river channels. Nevertheless, man- agement and restoration of the rivers require legal, social and economic considerations in addition to scientific insights. 
  
 From the present study, a set of recommendations are drawn for improving the overall environmental quality of the small catchment rivers in the study area in particular and the other tropical and subtropical rivers in general. 
 Separate legislations are to be enacted for river conservation and aggregate management in the area. 
 Mining should be done with care and with utmost environmental safeguards. 
 Examine and encourage the use of alternatives to river sand. 
 There is an urgent need for strengthening multidis- ciplinary studies on the rivers for providing adequate scientific information to river restoration and man- agement activities. 
 The abandoned pits left after floodplain mining of sand should be reclaimed by land filling. 
 Awareness campaign should be conducted among people about the various impacts of river sand mining, present state of river environment, finite character of river sand, use of alternatives to sand and immediate need for control measures. 
 Limit the extraction of sand to meet indigenous demand alone.","Regional","Kerala","Research paper","07-10-2010 18:30:00","08-05-2023 18:30:00","Other","Environmental Management Journal","08-05-2023","N/A"
"Lifting heads up out of the sand  — Delta Hub","https://livingdeltas.org/blog/lifting-heads-up-out-of-the-sand","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F21ccea1e-5055-4db7-a8de-d06a44943b6f.pdf?generation=1683632424661059&alt=media","Chris Hackney, who has done extensive academic work on sand mining in South East Asian rivers writes about the extent of the activity, the lack of governance and new tools being used for monitoring of sand mining activity in Cambodia and Vietnam.

This piece also talks about the non-mention of aggregate mining in the UN SDGs, given the intersections it has with most SDGs, both positive and negative. ","In the absence of active government oversight, technological tools - including satellite imagers, AI and image processing techniques have been used to create an independent analysis of the state of sand mining activity on the Mekong and Red river deltas in Cambodia and Vietnam. 
  
 See attached pdf for what results from their tool looks like, as well as the interseciton of aggregate mining with the SDGs.","Global ","N/A","Analysis","01-01-2022 18:30:00","09-05-2023 18:30:00","Other","Living Deltas","09-05-2023","N/A"
"Environmental Impact of Soil and Sand Mining: A Review","https://www.ijset.net/journal/27.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F786ffa8d-f903-421b-943d-43044dec85ac.pdf?generation=1685183626873762&alt=media","The socio-economic significance of mining operations is often overlooked, and there is a need to protect its economic and social benefits. Because of poor handling of resources, soil and sand mining cause negative impacts on the environment. The system of preparing an EMP report for clearance from the Government of India prior to the implementation of the mining project has been a positive step in minimizing the negative impacts.  The government should exercise prudence when it comes to leasing out the riverbed for mining activities and also demarcate areas clearly and monitor mining through a suitable institutional mechanism. A high-level lobbying committee must be formed, Laws have to be enforced in an efficient and unbiased way, and decisive steps are to be taken for the environmental solution.","1. Larger introduction on sand mining as a development in the economy  
 2. Threat to water resources and environmental issues concerning sand mining 
 3. Analysing different parameters--air quality, water quality, quality of groundwater and soil pollution ","India ","N/A","Research paper","13-06-2023 18:30:00","27-05-2023 18:30:00","Other","International Journal of Science, Environment and Technology, ","27-05-2023","N/A"
"INSTREAM SAND MINING IMPACT ON WATER QUALITY AND BENTHOS COMMUNITY IN AN ALLUVIAL REACH: A CASE STUDY ON RIVER KANGSABATI, WEST BENGAL","https://www.researchgate.net/publication/333022317_INSTREAM_SAND_MINING_IMPACT_ON_WATER_QUALITY_AND_BENTHOS_COMMUNITY_IN_AN_ALLUVIAL_REACH_A_CASE_STUDY_ON_RIVER_KANGSABATI_WEST_BENGAL","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F100948ed-bd3a-488e-9339-b492440223b6.pdf?generation=1685603142123354&alt=media","This study is conducted from upper,middle  and  lower course  in  Kangsabati River  in  West Bengal. Physiochemical  parameters were  determined by  water  quality analyzer and species were identified by the field survey in sandchar, mining, and post-mining sites. The result shows that all the deterioration process situated in mining sits and pits but stable ecosystem find out in the entire sandchar sites. Physical habitat is the living space of instream biota i.e. all aquatic community, fish community, riparian and instream vegetation.It  is  a spatially and  temporary dynamic  entity determined  by  the interaction  of  the structural  features  of  the  channel and  the hydrological regime. ","1.Most of the change occurs in the middle  course than upper and lower course due to huge mining takes place in the middle course. Therefore, it is apoint that mining activities change the aquatic ecosystem. 
 2. Human activities especially sand mining is obstructing instream biota.","Regional","West Bengal","Research paper","30-08-2018 18:30:00","01-06-2023 18:30:00","Other","International Journal of Current Research in Life Sciences","01-06-2023","N/A"
"West Bengal Minor Mineral Rules , 1973","https://ibm.gov.in/writereaddata/files/10262016093111Mineral%20digest%20WB.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F8c0f5afd-abf8-4f61-8a83-15eae4eb0ef2.pdf?generation=1685685841680371&alt=media","Rules set out in initial days of MINOR MINERALS EXCAVATION.","Adminisstrative and fundamental rules for lease and concessions.","Regional","West Bengal","Guideline","21-02-1973 18:30:00","02-06-2023 18:30:00","Government","Indian Bureau of Mines","02-06-2023","N/A"
"Rules for sand mining transportation and storage rules.","https://wbllroa.in/wp-content/uploads/2022/03/Sand-Mining-Transportaion-Storage-Rules-2022.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2Fcb1d53aa-c802-45f5-be86-5dd606609409.pdf?generation=1685702397334125&alt=media","Rules for sand mining transportation and storage rules.","(1) These Rules may be called the West Bengal Sand (Mining, Transportation, Storage and Sale) Rules, 2021.  
 (2) They shall extend to the entire State of West Bengal.  
 (3) They shall come into force from the date of their publication inthe Official Gazette","Regional","West Bengal","Guideline","21-01-2022 18:30:00","02-06-2023 18:30:00","Government","DEPARTMENT OF II\IDUSTRY COMMERCE & ENTERPRISES Mines Branch","02-06-2023","N/A"
"The Karnataka Minor Mineral Concession Rules, 1994","https://dmg.karnataka.gov.in/uploads/media_to_upload1636437130.pdf","N/A","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/pdfs%2F3f2fba94-6966-4c67-8431-0e86b742fe72.pdf?generation=1685948809671114&alt=media","In Karnataka, the mining and extraction of minor minerals are governed by the Karnataka Minor Mineral Concession Rules. These rules outline the procedures and regulations for granting licenses, permits, and leases for the exploitation of minor minerals such as building stones, gravel, sand, clay, and other materials.","The key features of the Karnataka Minor Mineral Concession Rules may include: 
 Application Process: The rules specify the procedure for applying for a mining lease or permit for minor minerals. This typically involves submitting an application to the relevant authorities, providing details about the intended area of mining, environmental impact assessments, and payment of application fees. 
 Grant of Concessions: The rules define the criteria and conditions for granting mining concessions. Factors such as the size of the area, mineral reserves, environmental considerations, and financial viability may be taken into account during the decision-making process. 
 Duration and Renewal: The rules outline the duration of mining leases and permits for minor minerals. Typically, the initial lease period is granted for a specific number of years, and it may be renewable upon meeting certain conditions and payment of prescribed fees. 
 Royalty and Fees: The rules specify the royalty rates and other fees to be paid by the concession holders. Royalty is usually calculated based on the volume or value of the extracted minerals and is payable to the state government. 
 Environmental Considerations: The rules may include provisions for environmental protection and conservation measures to be followed during mining operations. This may involve adherence to reclamation plans, minimizing adverse impacts on the ecosystem, and proper disposal of waste materials.","Regional","Karnataka","Guideline","01-01-1994 18:30:00","05-06-2023 18:30:00","Government"," Department of Mines and Geology, Karnataka","05-06-2023","N/A"
